cargoname,weight_per_item,number_of_items
Quantum Processor,500.5,10
Space Mining Equipment,350.2,15
Antimatter Containment Unit,600.8,20
Plasma Turbine Generator,450.4,25
Dark Matter Analyzer,700.7,5
Zero-Gravity Welding Kit,300.3,12
Solar Panel Array,150.1,30
Cryogenic Storage Containers,550.5,8
Artificial Gravity Mechanism,400.4,10
Space Habitat Materials,200.2,18
Interstellar Communication Device,500.0,7
Astrobiology Research Samples,600.6,14
Gravity Wave Detector,350.3,9
Hydrogen Fuel Cells,450.9,22
Lunar Soil Samples,700.2,16
Neutron Star Material,300.6,13
Comet Dust Collector,150.7,11
Nanotechnology Research Kit,550.3,6
Terraforming Resources,400.9,21
Extraterrestrial Artefacts,200.4,25
Bio-Dome Construction Kit,500.2,18
Space-Time Research Equipment,600.3,12
Cosmic Radiation Shielding,350.1,14
Subatomic Particle Accelerators,450.7,16
Artificial Intelligence Core,700.5,9
Quantum Entanglement Device,300.1,17
Space Elevator Components,150.3,11
Interplanetary Exploration Rover,550.7,15
Exoplanetary Soil Samples,400.5,19
Stellar Telescope Parts,200.9,8
Ion Thruster Engine,550.0,10
Space Habitat Generator,700.2,8
Neutrino Detector,450.7,12
Exotic Matter Storage,300.3,15
Quantum Computing Processor,600.1,20
Magnetic Field Stabilizer,400.5,18
Plasma Propulsion Module,500.4,25
Deep Space Mining Rig,350.8,14
Space Telescope Lens,550.6,6
Holographic Display Unit,450.0,17
Astrogeology Research Kit,600.9,13
Zero-Point Energy Converter,350.2,11
Quantum Battery Pack,700.3,22
Artificial Intelligence Drone,300.1,9
Lunar Habitat Modules,150.8,16
Microgravity Laboratory,550.2,10
Interstellar Navigation Computer,450.3,30
Warp Drive Components,600.5,5
Synthetic Biology Kit,400.8,12
Space-based Solar Power System,300.7,7
Meteorite Collection,150.2,19
Terraforming Chemical Agents,550.4,15
Antimatter Particle Collider,450.1,18
Nanorobotic Assembly Kit,700.0,20
Space Exploration Suit,300.5,14
Dark Matter Reactor,150.5,23
Cosmic Radiation Detector,550.0,9
Planetary Surface Rovers,450.9,17
Solar Radiation Shielding,600.6,8
Extraterrestrial Soil Analyzer,350.6,25
